,stationcode_list_excluded,stationname_list_excluded
0,025720,NYKOPINGS_FLYGPLATS
1,029520,PORI RAUTATIEASEMA
2,024980,SVENSKA HOGARNA A
3,023340,FINNEBY
4,027460,HANKO TULLINIEMI
5,025740,NORRKOPING-SMHI
6,023270,SVEG A
7,024580,UPPSALA FLYGPLATS
8,024170,SAFFLE
9,023380,EDSBYN A
10,024500,EGGEGRUND A
11,025830,GUSTAF_DALEN_A
12,023720,HOLICK
13,027620,KOKEMAKI PEIPOHJA HY
14,025410,SNAVLUNDA
15,024280,ATORP
16,024220,ASPHYTTAN
17,024930,SODERARM A
18,024850,STOCKHOLM
19,025520,MALEXANDER A
20,027510,PORI TAHKOLUOTO
21,024420,VINTJARN
22,023470,DELSBO A
23,024320,OREBRO
24,027610,RAUMA KYLMAPIHLAJA
25,023680,BRAMON A
26,029700,MAARIANHAMINA
27,027820,SAKYLA PYHAJOKI
28,025460,GARDSJO A
29,024620,UPPSALA AUT
30,025610,KVARN MO
31,024540,UTVALNAS
32,029060,KEMIONSAARI KEMIO KK
33,025890,Gotska Sandoen
34,024690,TULLINGE A
35,023360,EDSBYN
36,025620,LINKOEPING-MALMSLAET
37,024090,AMAL
38,024410,MORA A
39,023060,RORBACKSNAS
40,025670,LANDSORT A
41,023260,KVARNBERG
42,023210,ALVDALEN A
43,024560,FILMS KYRKBY A
44,024960,Svenska Hoegarna
45,024130,BRATTMON V
46,024680,STORA SPANSBERGET A
47,024530,GAVLE A
48,024110,ARVIKA A
49,024810,SALA A
50,025530,KYMBO V
51,024561,KREUZBURG
52,025650,MALILLA A
53,024720,SKEPPSMORA V
54,025630,HARSTENA A
55,028280,KAARINA YLTOINEN
56,024860,ADELSO A
57,025580,KOLMARDEN-STROMSFORS
58,029500,PARAINEN FAGERHOLM
59,024030,NAVEN A
60,024300,BACKA
61,024940,SODERARM
62,029720,Turku
63,025950,ROMA V
64,029710,JOMALA SODERSUNDA
65,024890,BERGA MO
66,025960,HERRVIK
67,027560,SALO KARKKA
68,025500,JONKOPING FLYGPLATS
69,025320,VASTERPLANA
70,029640,KUSTAVI ISOKARI
71,024400,AMOT A
72,025940,STORA_KARLSO
73,024760,FLODA A
74,024340,RIDDARHYTTAN
75,025980,OSTERGARNSHOLM A
76,024070,MALUNG A
77,025590,GLADHAMMAR A
78,023180,TANDADALEN
79,029800,LEMLAND NYHAMN
80,024310,KLOTEN A
81,024430,ENKOPING MO
82,025300,AKERSHUS
83,027410,JOMALA JOMALABY
84,025870,FAROSUND AR A
85,024230,SUNNE A
86,024440,FOLKARNA
87,025570,HORN A
88,029600,LAITILA PALTTILA
89,023430,TORPSHAMMAR_A
90,025430,FAGRE
91,025480,VISINGSO A
92,029810,PARAINEN UTO
93,024600,STOCKHOLM-ARLANDA
94,025340,BORGUNDA
95,023240,Sveg
96,025550,NASSJO
97,023290,HAMRA A
98,023460,DELSBO
99,024710,GRUNDKALLEN
100,027470,TURKU RAJAKARI
101,025450,AXSTAL MO
102,027730,TURKU ARTUKAINEN
103,025690,STAVSJO
104,029620,RAUMA MAJAKKA
105,029610,RAUMA KUUSKAJASKARI
106,024260,GUSTAVSFORS A
107,024160,MOLKOM
108,024510,VASTRA_BANKEN
109,029820,RUSSARO
110,023660,SUNDSVALLS FLYGPLATS
111,025440,KARLSBORG MO
112,027430,KEMIONSAARI VANO
113,023110,SALEN-HOGFJALLET V
114,024900,SVANBERGA A
115,023540,SUNDSVALL-RASTA V
116,024880,ORSKAR A
117,025540,KETTSTAKA A
118,262140,VILSANDI
119,025880,FARO
120,024350,BORLANGE FLYGPLATS
121,023550,KUGGOREN A
122,024520,KILSBERGEN-SUTTARBOD
123,024290,DAGLOSEN A
124,024390,FELLINGSBRO-FINNAKER
125,014980,MAGNOR/SKOTTERUD (R)
126,023160,SARNA A
127,025820,MIETOINEN SAARI
128,025810,UTO
129,024820,KERSTINBO A
130,024000,OSTMARK-ROJDASEN
131,023820,LUNGO
132,023370,NORRBERG-NORRHOG V
133,029950,GETA OSTERGETA
134,024990,ALMAGRUNDET_A
135,024870,STAVSNAS A
136,024740,SINGO
137,029790,KOKAR BOGSKAR
138,024490,ESKILSTUNA A
139,029960,NAANTALI RAULA
