,stationcode_list_excluded,stationname_list_excluded
119,108321,MERKLINGEN
120,112110,Radenthein
121,112610,Flattach-Kleindorf
122,140080,KREDARICA
123,066370,MEIRINGEN
124,109610,Zugspitze
125,111197,WILTEN
126,108750,MUHLDORF
127,066470,PSI WUERENLINGEN
128,067580,GRONO
129,108153,BADEN-BADEN-GEROLDSA
130,108100,HORNISGRINDE
131,107330,WAIBSTADT
132,108680,OBERSCHLEISSHEIM
133,066930,EBNAT-KAPPEL
134,109081,HINTERZARTEN
135,114190,KONSTANTINOVY LAZNE
136,140100,LESCE
137,111301,KIEFERSFELDEN-GACH
138,114061,SELB/OBERFRANKEN-WIL
139,067910,PIZ CORVATSCH
140,109500,MEMMINGEN
141,114910,STRAKONICE
142,107430,NIEDERSTETTEN
143,066410,MOEHLIN
144,108272,SIGMARINGEN-LAIZ
145,160220,PAGANELLA
146,067350,ADELBODEN
147,067930,VALBELLA
148,107380,STUTTGART/ECHTERD
149,067790,SEGL-MARIA
150,113680,Waidhofen/Ybbs
151,066780,BISCHOFSZELL
152,114970,HUSINEC
153,107242,RUPPERTSECKEN
154,106400,OFFENBACH/M. (STADT)
155,067820,DISENTIS / SEDRUN
156,107911,HOLLENSTEIN (KRAFTWE
157,107340,HEIDELBERG
158,111050,Feldkirch
159,066660,LEIBSTADT
160,067600,LOCARNO / MONTI
161,106580,BAD KISSINGEN
162,066880,CRAP MASEGN
163,108270,MESSSTETTEN
164,066890,HOERNLI
165,160880,BRESCIA/GHEDI-------
166,107561,WORNITZ-BOTTENWEILER
167,066200,SCHAFFHAUSEN
168,066440,MOSEN
169,066230,SALEN-REUTENEN
170,066850,GLARUS
171,107240,WEINBIET
172,066160,FAHY
173,106370,FRANKFURT/M.
174,067540,MATRO
175,066360,MUEHLEBERG
176,109291,PFULLENDORF
177,111200,Innsbruck-Flughafen
178,067870,ANDEER
179,113400,Schmittenhohe
180,067940,POSCHIAVO / ROBBIA
181,114550,KLATOVY
182,108601,KOSCHING
183,108154,WOLFACH
184,108181,ROTTWEIL
185,106879,HEINERSREUTH-VOLLHOF
186,106877,BAYREUTH
187,066350,KOPPIGEN
188,066950,ANDERMATT
189,107360,MUHLACKER
190,106850,HOF
191,067700,LUGANO
192,066000,ST. CHRISCHONA
193,106860,WUNSIEDEL-SCHONBRUNN
194,108032,MALSBURG-MARZELL-FRI
195,105740,CARLSFELD
196,106710,LAUTERTAL-OBERLAUTER
197,111010,Bregenz
198,106481,BEERFELDEN
199,114980,LENORA
200,066240,HALLAU
201,066260,GOESGEN
202,106751,BAMBERG_(STERNWARTE)
203,066050,CHASSERAL
204,066380,LANGNAU I.E.
205,105572,TEUSCHNITZ
206,113460,Rauris
207,109630,GARMISCH-PARTENKIRCH
208,108600,INGOLSTADT (FLUGPLAT
209,107290,MANNHEIM
210,114510,STANKOV
211,107391,HEILBRONN
212,106460,NEUHUTTEN/SPESSART
213,161050,VENEZIA/TESSERA
214,106570,WERTHEIM-EICHEL
215,066320,GRENCHEN
216,107431,BAD-NEUNKIRCHEN MERG
217,115930,BYNOV
218,106878,KULMBACH
219,108370,LAUPHEIM
220,108731,ROSENHEIM
221,114870,KOCELOVICE
222,066390,NAPF
223,066210,GUETTINGEN
224,108691,LANDSHUT
225,066550,ENGLEBERG
226,066690,LAEGERN
227,108720,GOTTFRIEDING
228,105580,SONNEBERG-NEUFANG
229,108380,Ulm - Giengen
230,160660,MILANO MALPENSA
231,066060,CRESSIER
232,106750,BAMBERG
233,067950,PIZ MARTEGNAS
234,107801,OBERVIECHTACH
235,114010,AS
236,109800,WENDELSTEIN
237,107912,METTEN
238,067280,GRACHEN
239,067980,SCUOL
240,108630,WEIHENSTEPHAN-DURNAS
241,107820,WALDMUNCHEN
242,108051,RHEINAU-MEMPRECHTSHO
243,107361,PFORZHEIM-EUTINGEN
244,107631,GOSSWEINSTEIN
245,067830,S. BERNARDINO
246,107910,GROSSER ARBER
247,160080,S. VALENTINO ALLA MU
248,161000,Venezia-Cavanis
249,107960,ZWIESEL
250,066480,EGOLZWIL
251,113141,SCHWANGAU-HORN
252,111570,AIGEN IM ENNSTAL
253,113371,REIT IM WINKL
254,067400,TITLIS
255,115320,VRAZ
256,109821,TROSTBERG
257,066500,LUZERN
258,106880,WEIDEN
259,066700,ZURICH / KLOTEN
260,066900,ALTENRHEIN
261,108031,VOGTSBURG-OBERROTWEI
262,067500,GUETSCH OB ANDERMATT
263,067340,INTERLAKEN
264,160800,MILANO/LINATE
265,067250,"BLATTEN, LOETSCHENTA"
266,067960,"STA. MARIA, VAL MUES"
267,106141,KAISERSLAUTERN
268,109082,WUTOSCHINGEN-OFTERIN
269,110530,Ried
270,107650,ROTH
271,108360,STOETTEN
272,111550,Feuerkogel
273,108180,KLIPPENECK
274,105571,KRONACH
275,114140,KARLOVY VARY
276,111440,Zell am See
277,160990,TREVISO/S.ANGELO
278,107711,AMBERG-UNTERAMMERSRI
279,107170,PIRMASENS
280,066080,CHOUMONT
281,108652,ATTENKAM
282,108700,MUENCHEN-FLUGHAFEN_A
283,066820,ELM
284,067300,JUNGFRAUJOCH
285,114062,TIRSCHENREUTH-LODERM
286,108500,HARBURG
287,106754,SCHLUSSELFELD (KLARA
288,106411,KAHL/MAIN
289,066790,AADORF / TAENIKON
290,067850,AROSA
291,109120,DONAUESCHINGEN
292,107713,SCHWANDORF
