,stationcode_list_excluded,stationname_list_excluded
0,115460,CESKE BUDEJOVICE
1,067530,PIOTTA
2,108501,REIMLINGEN
3,108030,Freiburg/Breisgau
4,107630,NUERNBERG_AIRPORT
5,160400,TARVISIO------------
6,141060,BILJE
7,106482,KR. NECKAR-ODENWALD
8,160360,AVIANO--------------
9,066020,DELEMONT
10,105481,BAD KONIGSHOFEN
11,072990,BALE-MULHOUSE
12,066800,SAENTIS
13,108651,ALTOMUNSTER-MAISBRUN
14,105440,WASSERKUPPE
15,107432,ROTHENBURG OB DER TA
16,161101,GODNJE
17,115490,VYSSI BROD
18,109480,OBERSTDORF
19,140070,RATECE
20,107610,WEIßENBURG
21,111260,Patscherkofel
22,111470,Radstadt
23,114460,PLZEN
24,069900,VADUZ
25,066810,ST. GALLEN (ANETZ-ST
26,105690,PLAUEN
27,108560,LECHFELD
28,066590,PILATUS
29,114470,STRIBRO
30,067860,CHUR
31,108721,MALLERSDORF/NIEDERBA
32,105442,SANDBERG
33,108950,FUERSTENZELL
34,108570,LANDSBERG (FLUGPLATZ
35,107710,KUMMERSBRUCK
36,066340,WYNAU
37,109710,BAD TOLZ
38,105570,NEUHAUS A.R.
39,067510,ROBIEI
40,110531,ERING
41,067440,GRIMSEL HOSPIZ
42,106480,MICHELSTADT-VIELBRUN
43,107712,PARSBERG/OBERPFALZ-E
44,107880,STRAUBING
45,066460,BEZNAU
46,108050,LAHR
47,114060,CHEB
48,109290,KONSTANZ
49,067970,PASSO DEL BERNINA
50,107420,OEHRINGEN
51,113120,Galtur
52,114570,CHURANOV
53,107381,MUNSINGEN-APFELSTETT
54,160707,RIVA
55,111501,BAD REICHENHALL
56,111120,LANDECK
57,067450,ULRICHEN
58,067390,EGGISHORN
59,066750,EINSIEDELN
60,066570,GISWIL
61,140090,VOJSKO
62,066860,BAD RAGAZ
63,067270,VISP
64,114280,DOMAZLICE
65,999049,OBIR
66,160210,Passo Rolle
67,110150,FREISTADT
68,107611,WEISSENBURG
69,110170,Freistadt
70,106753,EBRACH
71,106861,FICHTELBERG/OBERFRAN
72,108930,PASSAU-OBERHAUS
73,066720,ALTDORF
74,109460,KEMPTEN
75,066510,SCHUEPFHEIM
76,111300,Kufstein
77,140060,VOGEL
78,067710,STABIO
79,067590,CIMETTA
80,107560,FEUCHTWANGEN-HEILBRO
81,067990,NALUNS / SCHLIVERA
82,107632,NUERNBERG-BUCHENBUEH
83,108150,FREUDENSTADT
84,108502,DILLINGEN/DONAU
85,109540,ALTENSTADT
86,114420,KRALOVICE
87,111460,Sonnblick
88,108400,ULM
89,111660,Seckau
90,106752,HOFHEIM
91,067770,MONTE GENEROSO
92,110070,Kollerschlag
93,107770,GELBELSEE
94,108681,HOLZKIRCHEN
95,109451,KR. RAVENSBURG WEING
96,107241,ALZEY
97,114230,PRIMDA
98,115850,BORKOVICE
99,114180,MARIANSKE LAZNE
100,107291,WORMS
101,109080,FELDBERG/SCHWARZWALD
102,066330,BUCHS / AARAU
103,108182,VILLINGEN-SCHWENNING
104,067290,SAMEDAN
105,109450,LEUTKIRCH-HERLAZHOFE
106,108271,HECHINGEN
107,067800,WEISSFLUHJOCH
108,066280,PLAFFEIEN
109,068080,MAGADINO / CADENAZZO
110,066730,WAEDENSWIL
111,067840,DAVOS
112,112150,Millstatt
113,106551,WUERZBURG_(PHYSIKALI
114,106550,WUERZBURG
115,112991,Seckau
116,109820,CHIEMING
117,111290,BRENNER
118,067780,BUFFALORA
