,stationcode_list_excluded,stationname_list_excluded
0,726050,CONCORD
1,756390,YORKTOWN HEIGHTS 1 W
2,720219,BEDFORD
3,720349,HANOVER
4,720385,SETAUKET STRONG
5,720533,CHELSEA
6,756380,SARATOGA SPRINGS 4 S
7,753011,KINGSTON
8,756384,TROY L&D
9,756379,POUGHKEEPSIE
10,756051,FALLS VILLAGE
11,720348,DURHAM
12,720048,STORRS
13,744900,WALPOLE 2
14,756211,GREAT BARRINGTON 5 S
15,720536,SAINT JOHNSBURY
16,756374,MOHONK LAKE
17,744902,WEST MEDWAY
18,720222,LAWRENCE
19,726060,PORTLAND JETPORT
20,756368,GLENHAM
21,725050,BLOCK ISLAND STATE A
22,720387,WEST POINT
23,756361,BRIDGEHAMPTON
24,756381,DOBBS FERRY ARDSLEY
25,726130,MOUNT WASHINGTON
26,725020,NEWARK/INT'L-ARPT---
27,756387,WALDEN 1 ESE
28,725090,READING
29,725180,ALBANY INTL AP
30,756562,SOUTH LINCOLN
31,720353,CHARLOTTEBURG RSVR
32,720206,LEWISTON
33,725031,NEW_YORK_WB_CITY
34,756382,STILLWATER RSVR
35,726170,BURLINGTON WSO AP
36,720046,GROTON
37,725060,NANTUCKET
38,756559,CAVENDISH
39,756185,GARDINER
40,720352,BOONTON 1 SE
41,725080,HARTFORD/BRADLEY INT
42,720218,AMHERST
43,752044,KEENE
44,720347,BETHLEHEM 2
45,720384,PORT JERVIS
46,720373,GLOVERSVILLE
47,720534,CORNWALL
48,756053,STAMFORD 5 N
49,756213,PLYMOUTH-KINGSTON
50,725040,BRIDGEPORT/SIKORSKY
51,720225,TAUNTON
52,725070,PROVIDENCE WSO AP
53,725091,PROVINCETOWN
54,720205,FARMINGTON
55,725030,"NEW YORK/LA GUARDIA,"
56,720381,NY CITY CNTRL PARK
