,stationcode_list_excluded,stationname_list_excluded
106,106400,OFFENBACH/M. (STADT)
107,107170,PIRMASENS
108,109120,DONAUESCHINGEN
109,067970,PASSO DEL BERNINA
110,113680,Waidhofen/Ybbs
111,067800,WEISSFLUHJOCH
112,108691,LANDSHUT
113,114060,CHEB
114,108360,STOETTEN
115,109081,HINTERZARTEN
116,066060,CRESSIER
117,066730,WAEDENSWIL
118,111570,AIGEN IM ENNSTAL
119,105442,SANDBERG
120,160210,Passo Rolle
121,066210,GUETTINGEN
122,107560,FEUCHTWANGEN-HEILBRO
123,107380,STUTTGART/ECHTERD
124,106411,KAHL/MAIN
125,067870,ANDEER
126,114910,STRAKONICE
127,067500,GUETSCH OB ANDERMATT
128,108652,ATTENKAM
129,160800,MILANO/LINATE
130,114570,CHURANOV
131,106880,WEIDEN
132,107561,WORNITZ-BOTTENWEILER
133,066320,GRENCHEN
134,109291,PFULLENDORF
135,067580,GRONO
136,108681,HOLZKIRCHEN
137,160990,TREVISO/S.ANGELO
138,109450,LEUTKIRCH-HERLAZHOFE
139,106550,WUERZBURG
140,107711,AMBERG-UNTERAMMERSRI
141,067450,ULRICHEN
142,105740,CARLSFELD
143,107910,GROSSER ARBER
144,160220,PAGANELLA
145,066660,LEIBSTADT
146,066900,ALTENRHEIN
147,067930,VALBELLA
148,106580,BAD KISSINGEN
149,114870,KOCELOVICE
150,107610,WEIßENBURG
151,107650,ROTH
152,108720,GOTTFRIEDING
153,109460,KEMPTEN
154,067770,MONTE GENEROSO
155,067980,SCUOL
156,108950,FUERSTENZELL
157,112150,Millstatt
158,106751,BAMBERG_(STERNWARTE)
159,067440,GRIMSEL HOSPIZ
160,108750,MUHLDORF
161,160880,BRESCIA/GHEDI-------
162,107911,HOLLENSTEIN (KRAFTWE
163,107631,GOSSWEINSTEIN
164,105580,SONNEBERG-NEUFANG
165,108601,KOSCHING
166,112110,Radenthein
167,107960,ZWIESEL
168,108180,KLIPPENECK
169,160400,TARVISIO------------
170,114420,KRALOVICE
171,108570,LANDSBERG (FLUGPLATZ
172,111470,Radstadt
173,107240,WEINBIET
174,106860,WUNSIEDEL-SCHONBRUNN
175,140060,VOGEL
176,108321,MERKLINGEN
177,066570,GISWIL
178,114061,SELB/OBERFRANKEN-WIL
179,108270,MESSSTETTEN
180,066810,ST. GALLEN (ANETZ-ST
181,113141,SCHWANGAU-HORN
182,067270,VISP
183,108721,MALLERSDORF/NIEDERBA
184,107820,WALDMUNCHEN
185,106878,KULMBACH
186,067510,ROBIEI
187,067390,EGGISHORN
188,066460,BEZNAU
189,067990,NALUNS / SCHLIVERA
190,066790,AADORF / TAENIKON
191,107880,STRAUBING
192,067340,INTERLAKEN
193,110531,ERING
194,066000,ST. CHRISCHONA
195,067860,CHUR
196,107430,NIEDERSTETTEN
197,111660,Seckau
198,066370,MEIRINGEN
199,105690,PLAUEN
200,067400,TITLIS
201,067300,JUNGFRAUJOCH
202,106850,HOF
203,107381,MUNSINGEN-APFELSTETT
204,108501,REIMLINGEN
205,107361,PFORZHEIM-EUTINGEN
206,066720,ALTDORF
207,108930,PASSAU-OBERHAUS
208,108680,OBERSCHLEISSHEIM
209,107241,ALZEY
210,106141,KAISERSLAUTERN
211,067710,STABIO
212,115930,BYNOV
213,106750,BAMBERG
214,114550,KLATOVY
215,066200,SCHAFFHAUSEN
216,108502,DILLINGEN/DONAU
217,106754,SCHLUSSELFELD (KLARA
218,067820,DISENTIS / SEDRUN
219,107391,HEILBRONN
220,160660,MILANO MALPENSA
221,067350,ADELBODEN
222,107710,KUMMERSBRUCK
223,107770,GELBELSEE
224,109540,ALTENSTADT
225,114010,AS
226,067830,S. BERNARDINO
227,106752,HOFHEIM
228,161050,VENEZIA/TESSERA
229,067940,POSCHIAVO / ROBBIA
230,067780,BUFFALORA
231,111050,Feldkirch
232,107632,NUERNBERG-BUCHENBUEH
233,066360,MUEHLEBERG
234,067530,PIOTTA
235,105481,BAD KONIGSHOFEN
236,108600,INGOLSTADT (FLUGPLAT
237,066050,CHASSERAL
238,107330,WAIBSTADT
239,111120,LANDECK
240,066780,BISCHOFSZELL
241,108651,ALTOMUNSTER-MAISBRUN
242,066510,SCHUEPFHEIM
243,067290,SAMEDAN
244,107713,SCHWANDORF
245,067950,PIZ MARTEGNAS
246,114470,STRIBRO
247,105572,TEUSCHNITZ
248,111260,Patscherkofel
249,115320,VRAZ
250,066930,EBNAT-KAPPEL
251,108500,HARBURG
252,110170,Freistadt
253,066470,PSI WUERENLINGEN
254,108400,ULM
255,107290,MANNHEIM
256,108630,WEIHENSTEPHAN-DURNAS
257,107431,BAD-NEUNKIRCHEN MERG
258,067540,MATRO
259,107420,OEHRINGEN
260,107801,OBERVIECHTACH
261,109820,CHIEMING
262,108272,SIGMARINGEN-LAIZ
263,115460,CESKE BUDEJOVICE
264,066380,LANGNAU I.E.
265,107611,WEISSENBURG
266,066390,NAPF
267,066440,MOSEN
268,066350,KOPPIGEN
269,114230,PRIMDA
270,114062,TIRSCHENREUTH-LODERM
271,111200,Innsbruck-Flughafen
272,111197,WILTEN
273,106877,BAYREUTH
274,140070,RATECE
275,107360,MUHLACKER
276,066240,HALLAU
277,108181,ROTTWEIL
278,106861,FICHTELBERG/OBERFRAN
