,stationcode_list_excluded,stationname_list_excluded
0,112991,Seckau
1,108051,RHEINAU-MEMPRECHTSHO
2,109080,FELDBERG/SCHWARZWALD
3,109821,TROSTBERG
4,113120,Galtur
5,106481,BEERFELDEN
6,066020,DELEMONT
7,106570,WERTHEIM-EICHEL
8,111300,Kufstein
9,160360,AVIANO--------------
10,106753,EBRACH
11,140090,VOJSKO
12,111290,BRENNER
13,107242,RUPPERTSECKEN
14,066160,FAHY
15,110070,Kollerschlag
16,066260,GOESGEN
17,108050,LAHR
18,066880,CRAP MASEGN
19,108560,LECHFELD
20,109610,Zugspitze
21,066590,PILATUS
22,108031,VOGTSBURG-OBERROTWEI
23,111301,KIEFERSFELDEN-GACH
24,108182,VILLINGEN-SCHWENNING
25,107630,NUERNBERG_AIRPORT
26,069900,VADUZ
27,106879,HEINERSREUTH-VOLLHOF
28,109710,BAD TOLZ
29,160080,S. VALENTINO ALLA MU
30,066750,EINSIEDELN
31,108100,HORNISGRINDE
32,109290,KONSTANZ
33,067910,PIZ CORVATSCH
34,106710,LAUTERTAL-OBERLAUTER
35,106460,NEUHUTTEN/SPESSART
36,161101,GODNJE
37,108154,WOLFACH
38,109630,GARMISCH-PARTENKIRCH
39,112610,Flattach-Kleindorf
40,160707,RIVA
41,109082,WUTOSCHINGEN-OFTERIN
42,067250,"BLATTEN, LOETSCHENTA"
43,066280,PLAFFEIEN
44,114180,MARIANSKE LAZNE
45,105571,KRONACH
46,114140,KARLOVY VARY
47,067960,"STA. MARIA, VAL MUES"
48,108153,BADEN-BADEN-GEROLDSA
49,141060,BILJE
50,106482,KR. NECKAR-ODENWALD
51,066950,ANDERMATT
52,072990,BALE-MULHOUSE
53,140100,LESCE
54,107712,PARSBERG/OBERPFALZ-E
55,066700,ZURICH / KLOTEN
56,108150,FREUDENSTADT
57,114510,STANKOV
58,109480,OBERSTDORF
59,066820,ELM
60,108700,MUENCHEN-FLUGHAFEN_A
61,107291,WORMS
62,106551,WUERZBURG_(PHYSIKALI
63,115490,VYSSI BROD
64,066860,BAD RAGAZ
65,111460,Sonnblick
66,109451,KR. RAVENSBURG WEING
67,109800,WENDELSTEIN
68,114190,KONSTANTINOVY LAZNE
69,114460,PLZEN
70,067850,AROSA
71,114980,LENORA
72,105570,NEUHAUS A.R.
73,113460,Rauris
74,110150,FREISTADT
75,111501,BAD REICHENHALL
76,066500,LUZERN
77,066480,EGOLZWIL
78,108032,MALSBURG-MARZELL-FRI
79,068080,MAGADINO / CADENAZZO
80,066330,BUCHS / AARAU
81,066890,HOERNLI
82,113371,REIT IM WINKL
83,107912,METTEN
84,066850,GLARUS
85,140080,KREDARICA
86,067600,LOCARNO / MONTI
87,107340,HEIDELBERG
88,108731,ROSENHEIM
89,114970,HUSINEC
90,106480,MICHELSTADT-VIELBRUN
91,108370,LAUPHEIM
92,066230,SALEN-REUTENEN
93,109500,MEMMINGEN
94,066410,MOEHLIN
95,114280,DOMAZLICE
96,105440,WASSERKUPPE
97,107432,ROTHENBURG OB DER TA
98,108271,HECHINGEN
99,111550,Feuerkogel
100,066690,LAEGERN
101,113400,Schmittenhohe
102,115850,BORKOVICE
103,066340,WYNAU
104,067590,CIMETTA
105,067280,GRACHEN
