,stationcode_list_excluded,stationname_list_excluded
0,756211,GREAT BARRINGTON 5 S
1,756387,WALDEN 1 ESE
2,756390,YORKTOWN HEIGHTS 1 W
3,720048,STORRS
4,725020,NEWARK/INT'L-ARPT---
5,720206,LEWISTON
6,720219,BEDFORD
7,720373,GLOVERSVILLE
8,725060,NANTUCKET
9,744902,WEST MEDWAY
10,720205,FARMINGTON
11,744900,WALPOLE 2
12,720384,PORT JERVIS
13,720533,CHELSEA
14,753011,KINGSTON
15,720046,GROTON
16,756368,GLENHAM
17,720347,BETHLEHEM 2
18,720225,TAUNTON
19,756051,FALLS VILLAGE
20,756381,DOBBS FERRY ARDSLEY
21,725040,BRIDGEPORT/SIKORSKY
22,752044,KEENE
23,756379,POUGHKEEPSIE
24,720353,CHARLOTTEBURG RSVR
25,726130,MOUNT WASHINGTON
26,725050,BLOCK ISLAND STATE A
27,756361,BRIDGEHAMPTON
28,756384,TROY L&D
29,720534,CORNWALL
30,720536,SAINT JOHNSBURY
31,725080,HARTFORD/BRADLEY INT
32,756213,PLYMOUTH-KINGSTON
33,756559,CAVENDISH
34,720348,DURHAM
35,720352,BOONTON 1 SE
36,756380,SARATOGA SPRINGS 4 S
37,726050,CONCORD
38,756053,STAMFORD 5 N
39,725091,PROVINCETOWN
40,725092,BOSTON_CITY_WSO
41,756374,MOHONK LAKE
42,756562,SOUTH LINCOLN
43,720385,SETAUKET STRONG
44,725090,READING
