,test_station,ref_station,error_x1r_CASE_1A,error_x1r_CASE_1B,error_SE1r_CASE_1A,error_SE1r_CASE_1B,median_n12
0,744920,720218,-0.9867961,-0.98679715,0.2948761898308424,0.06950372270376598,50
1,744920,720222,-0.24135017,-0.17883794,0.29201436798210195,0.04718084116340002,40
2,744920,720223,-1.1444973,-1.1444973,0.23634841460491476,0.007951187067980267,50
3,744920,720225,-0.30477557,-0.21037309,0.39283913679330124,0.0824232882000309,29
4,744920,720349,-0.19166104,-0.20928557,0.35503038610668775,0.12064228545908173,48
5,744920,720381,-0.46930185,-0.46929994,0.2718907125134726,0.05091457031739949,50
6,744920,720387,-3.1592429,-3.1466076,0.36651239148565445,0.19630094258256137,47
7,744920,725030,-0.0071980157,-0.0071997643,0.2741777490834251,0.04899259121867101,50
8,744920,725031,-0.27169928,-0.2717007,0.372435527153759,0.17949634794952848,50
9,744920,725045,0.9499261,0.94992685,0.3583727535951198,0.18138908165631715,50
10,744920,725070,-0.35732985,-0.37593684,0.277172688743265,0.06670806344616646,47
11,744920,725090,-0.79777366,-0.70761967,0.3369843550636958,0.09442314506820565,29
12,744920,725092,-0.51449823,-0.4349985,0.32426797451113853,0.04153196733328245,30
13,744920,725180,-1.1037103,-0.9811967,0.36868164971044964,0.1426163786637474,44
14,744920,726050,-3.4524982,-3.3729985,0.40975568435271525,0.18202584499954397,30
15,744920,726060,-1.7648925,-1.7444572,0.2733246785327024,0.08374916785192428,42
16,744920,726170,-1.8525949,-1.8255495,0.41599682992513043,0.22034962487579093,40
17,744920,744920,0.0,0.0,0.2629085105134857,0.0,50
18,744920,756185,-1.557447,-1.5715857,0.26849088433019236,0.09038638431454982,47
19,744920,756382,-9.338841,-9.2149315,0.519739520635475,0.40655797900753593,44
