,stationcode_list_excluded,stationname_list_excluded
0,720046,GROTON
1,756374,MOHONK LAKE
2,725060,NANTUCKET
3,756380,SARATOGA SPRINGS 4 S
4,756211,GREAT BARRINGTON 5 S
5,720534,CORNWALL
6,725020,NEWARK/INT'L-ARPT---
7,720536,SAINT JOHNSBURY
8,720384,PORT JERVIS
9,725091,PROVINCETOWN
10,753011,KINGSTON
11,756368,GLENHAM
12,756379,POUGHKEEPSIE
13,720219,BEDFORD
14,725092,BOSTON_CITY_WSO
15,725080,HARTFORD/BRADLEY INT
16,720373,GLOVERSVILLE
17,756053,STAMFORD 5 N
18,756562,SOUTH LINCOLN
19,725040,BRIDGEPORT/SIKORSKY
20,744900,WALPOLE 2
21,720048,STORRS
22,720352,BOONTON 1 SE
23,756361,BRIDGEHAMPTON
24,720205,FARMINGTON
25,726130,MOUNT WASHINGTON
26,752044,KEENE
27,756213,PLYMOUTH-KINGSTON
28,725050,BLOCK ISLAND STATE A
29,726050,CONCORD
30,756051,FALLS VILLAGE
31,720353,CHARLOTTEBURG RSVR
32,720206,LEWISTON
33,756381,DOBBS FERRY ARDSLEY
34,720385,SETAUKET STRONG
35,725090,READING
36,720533,CHELSEA
37,756387,WALDEN 1 ESE
38,756559,CAVENDISH
39,744902,WEST MEDWAY
40,756390,YORKTOWN HEIGHTS 1 W
41,720347,BETHLEHEM 2
42,720225,TAUNTON
43,756384,TROY L&D
44,720348,DURHAM
