,stationcode_list_excluded,stationname_list_excluded
0,756211,GREAT BARRINGTON 5 S
1,756387,WALDEN 1 ESE
2,756390,YORKTOWN HEIGHTS 1 W
3,720048,STORRS
4,725020,NEWARK/INT'L-ARPT---
5,720206,LEWISTON
6,720219,BEDFORD
7,720373,GLOVERSVILLE
8,725060,NANTUCKET
9,744902,WEST MEDWAY
10,720205,FARMINGTON
11,744900,WALPOLE 2
12,720384,PORT JERVIS
13,753011,KINGSTON
14,720046,GROTON
15,756368,GLENHAM
16,720347,BETHLEHEM 2
17,756051,FALLS VILLAGE
18,756381,DOBBS FERRY ARDSLEY
19,725040,BRIDGEPORT/SIKORSKY
20,752044,KEENE
21,756379,POUGHKEEPSIE
22,720353,CHARLOTTEBURG RSVR
23,726130,MOUNT WASHINGTON
24,725050,BLOCK ISLAND STATE A
25,756361,BRIDGEHAMPTON
26,756384,TROY L&D
27,720534,CORNWALL
28,720536,SAINT JOHNSBURY
29,725080,HARTFORD/BRADLEY INT
30,756213,PLYMOUTH-KINGSTON
31,756559,CAVENDISH
32,720348,DURHAM
33,720352,BOONTON 1 SE
34,756380,SARATOGA SPRINGS 4 S
35,756053,STAMFORD 5 N
36,725091,PROVINCETOWN
37,756374,MOHONK LAKE
38,756562,SOUTH LINCOLN
39,720385,SETAUKET STRONG
40,720533,CHELSEA
