,stationcode_list_excluded,stationname_list_excluded
0,756361,BRIDGEHAMPTON
1,720534,CORNWALL
2,756387,WALDEN 1 ESE
3,725080,HARTFORD/BRADLEY INT
4,725050,BLOCK ISLAND STATE A
5,744902,WEST MEDWAY
6,720348,DURHAM
7,752044,KEENE
8,720352,BOONTON 1 SE
9,756213,PLYMOUTH-KINGSTON
10,720384,PORT JERVIS
11,720206,LEWISTON
12,725040,BRIDGEPORT/SIKORSKY
13,720046,GROTON
14,720205,FARMINGTON
15,756562,SOUTH LINCOLN
16,720048,STORRS
17,720373,GLOVERSVILLE
18,756390,YORKTOWN HEIGHTS 1 W
19,756051,FALLS VILLAGE
20,756381,DOBBS FERRY ARDSLEY
21,720536,SAINT JOHNSBURY
22,744900,WALPOLE 2
23,756374,MOHONK LAKE
24,756559,CAVENDISH
25,756211,GREAT BARRINGTON 5 S
26,720533,CHELSEA
27,726130,MOUNT WASHINGTON
28,725091,PROVINCETOWN
29,756053,STAMFORD 5 N
30,725020,NEWARK/INT'L-ARPT---
31,753011,KINGSTON
32,756380,SARATOGA SPRINGS 4 S
33,725060,NANTUCKET
34,720347,BETHLEHEM 2
35,756368,GLENHAM
36,720385,SETAUKET STRONG
37,756379,POUGHKEEPSIE
38,720353,CHARLOTTEBURG RSVR
39,756384,TROY L&D
40,720219,BEDFORD
