,stationcode_list_excluded,stationname_list_excluded
0,756211,GREAT BARRINGTON 5 S
1,756387,WALDEN 1 ESE
2,756390,YORKTOWN HEIGHTS 1 W
3,720048,STORRS
4,725020,NEWARK/INT'L-ARPT---
5,720206,LEWISTON
6,726170,BURLINGTON WSO AP
7,720219,BEDFORD
8,720373,GLOVERSVILLE
9,725060,NANTUCKET
10,744902,WEST MEDWAY
11,720205,FARMINGTON
12,720384,PORT JERVIS
13,744900,WALPOLE 2
14,753011,KINGSTON
15,720046,GROTON
16,756368,GLENHAM
17,720347,BETHLEHEM 2
18,720349,HANOVER
19,720225,TAUNTON
20,756051,FALLS VILLAGE
21,756381,DOBBS FERRY ARDSLEY
22,725090,READING
23,725040,BRIDGEPORT/SIKORSKY
24,752044,KEENE
25,756379,POUGHKEEPSIE
26,720353,CHARLOTTEBURG RSVR
27,726130,MOUNT WASHINGTON
28,725050,BLOCK ISLAND STATE A
29,756361,BRIDGEHAMPTON
30,756384,TROY L&D
31,756562,SOUTH LINCOLN
32,720534,CORNWALL
33,720536,SAINT JOHNSBURY
34,725080,HARTFORD/BRADLEY INT
35,756213,PLYMOUTH-KINGSTON
36,756559,CAVENDISH
37,720348,DURHAM
38,720352,BOONTON 1 SE
39,720222,LAWRENCE
40,756380,SARATOGA SPRINGS 4 S
41,726050,CONCORD
42,725091,PROVINCETOWN
43,725092,BOSTON_CITY_WSO
44,756053,STAMFORD 5 N
45,756374,MOHONK LAKE
46,720385,SETAUKET STRONG
47,720533,CHELSEA
