,stationcode_list_excluded,stationname_list_excluded
0,756211,GREAT BARRINGTON 5 S
1,756387,WALDEN 1 ESE
2,756390,YORKTOWN HEIGHTS 1 W
3,720048,STORRS
4,725020,NEWARK/INT'L-ARPT---
5,720206,LEWISTON
6,726170,BURLINGTON WSO AP
7,720219,BEDFORD
8,720373,GLOVERSVILLE
9,725060,NANTUCKET
10,744902,WEST MEDWAY
11,720205,FARMINGTON
12,720384,PORT JERVIS
13,744900,WALPOLE 2
14,753011,KINGSTON
15,720046,GROTON
16,756368,GLENHAM
17,720347,BETHLEHEM 2
18,720349,HANOVER
19,720225,TAUNTON
20,725180,ALBANY INTL AP
21,756051,FALLS VILLAGE
22,756381,DOBBS FERRY ARDSLEY
23,725090,READING
24,725040,BRIDGEPORT/SIKORSKY
25,752044,KEENE
26,756379,POUGHKEEPSIE
27,720353,CHARLOTTEBURG RSVR
28,726130,MOUNT WASHINGTON
29,756382,STILLWATER RSVR
30,725050,BLOCK ISLAND STATE A
31,756361,BRIDGEHAMPTON
32,756384,TROY L&D
33,756562,SOUTH LINCOLN
34,720534,CORNWALL
35,720536,SAINT JOHNSBURY
36,725080,HARTFORD/BRADLEY INT
37,726060,PORTLAND JETPORT
38,756213,PLYMOUTH-KINGSTON
39,756559,CAVENDISH
40,720348,DURHAM
41,720352,BOONTON 1 SE
42,720387,WEST POINT
43,720222,LAWRENCE
44,756380,SARATOGA SPRINGS 4 S
45,726050,CONCORD
46,725091,PROVINCETOWN
47,725092,BOSTON_CITY_WSO
48,756053,STAMFORD 5 N
49,756374,MOHONK LAKE
50,720385,SETAUKET STRONG
51,720533,CHELSEA
