,stationcode_list_excluded,stationname_list_excluded
0,720046,GROTON
1,756374,MOHONK LAKE
2,725060,NANTUCKET
3,756380,SARATOGA SPRINGS 4 S
4,756211,GREAT BARRINGTON 5 S
5,720534,CORNWALL
6,725020,NEWARK/INT'L-ARPT---
7,720536,SAINT JOHNSBURY
8,720384,PORT JERVIS
9,725091,PROVINCETOWN
10,753011,KINGSTON
11,756368,GLENHAM
12,756379,POUGHKEEPSIE
13,720219,BEDFORD
14,725080,HARTFORD/BRADLEY INT
15,720373,GLOVERSVILLE
16,756562,SOUTH LINCOLN
17,725040,BRIDGEPORT/SIKORSKY
18,744900,WALPOLE 2
19,720048,STORRS
20,720352,BOONTON 1 SE
21,756361,BRIDGEHAMPTON
22,720205,FARMINGTON
23,726130,MOUNT WASHINGTON
24,752044,KEENE
25,756213,PLYMOUTH-KINGSTON
26,725050,BLOCK ISLAND STATE A
27,756051,FALLS VILLAGE
28,720353,CHARLOTTEBURG RSVR
29,720206,LEWISTON
30,756381,DOBBS FERRY ARDSLEY
31,720533,CHELSEA
32,756387,WALDEN 1 ESE
33,756559,CAVENDISH
34,744902,WEST MEDWAY
35,756390,YORKTOWN HEIGHTS 1 W
36,720347,BETHLEHEM 2
37,756384,TROY L&D
38,720348,DURHAM
