,stationcode_list_excluded,stationname_list_excluded
119,066470,PSI WUERENLINGEN
120,067580,GRONO
121,108153,BADEN-BADEN-GEROLDSA
122,108100,HORNISGRINDE
123,107330,WAIBSTADT
124,108680,OBERSCHLEISSHEIM
125,066930,EBNAT-KAPPEL
126,109081,HINTERZARTEN
127,140100,LESCE
128,111301,KIEFERSFELDEN-GACH
129,067910,PIZ CORVATSCH
130,067470,MONTE ROSA-PLATTJE
131,109500,MEMMINGEN
132,114910,STRAKONICE
133,107430,NIEDERSTETTEN
134,066410,MOEHLIN
135,108272,SIGMARINGEN-LAIZ
136,160220,PAGANELLA
137,142191,BABNO POLJE
138,067350,ADELBODEN
139,067930,VALBELLA
140,107380,STUTTGART/ECHTERD
141,067790,SEGL-MARIA
142,141050,PORTOROZ-LETALISCE
143,113680,Waidhofen/Ybbs
144,066780,BISCHOFSZELL
145,114970,HUSINEC
146,111710,MARIAZELL/ST SEBASTI
147,067820,DISENTIS / SEDRUN
148,107911,HOLLENSTEIN (KRAFTWE
149,107340,HEIDELBERG
150,111050,Feldkirch
151,066660,LEIBSTADT
152,067600,LOCARNO / MONTI
153,066880,CRAP MASEGN
154,108270,MESSSTETTEN
155,066890,HOERNLI
156,160880,BRESCIA/GHEDI-------
157,107561,WORNITZ-BOTTENWEILER
158,066200,SCHAFFHAUSEN
159,066440,MOSEN
160,066230,SALEN-REUTENEN
161,066850,GLARUS
162,067540,MATRO
163,066360,MUEHLEBERG
164,109291,PFULLENDORF
165,111200,Innsbruck-Flughafen
166,067870,ANDEER
167,113400,Schmittenhohe
168,067940,POSCHIAVO / ROBBIA
169,114550,KLATOVY
170,108601,KOSCHING
171,108154,WOLFACH
172,067480,ZERMATT
173,108181,ROTTWEIL
174,106879,HEINERSREUTH-VOLLHOF
175,106877,BAYREUTH
176,066350,KOPPIGEN
177,066950,ANDERMATT
178,107360,MUHLACKER
179,067490,GORNERGRAT
180,067700,LUGANO
181,066000,ST. CHRISCHONA
182,106860,WUNSIEDEL-SCHONBRUNN
183,108032,MALSBURG-MARZELL-FRI
184,111010,Bregenz
185,106481,BEERFELDEN
186,114980,LENORA
187,140210,SMARTNO PRI SLOVENJ
188,066240,HALLAU
189,066260,GOESGEN
190,106751,BAMBERG_(STERNWARTE)
191,066380,LANGNAU I.E.
192,113460,Rauris
193,109630,GARMISCH-PARTENKIRCH
194,108600,INGOLSTADT (FLUGPLAT
195,114510,STANKOV
196,107391,HEILBRONN
197,161050,VENEZIA/TESSERA
198,106570,WERTHEIM-EICHEL
199,066320,GRENCHEN
200,107431,BAD-NEUNKIRCHEN MERG
201,115930,BYNOV
202,106878,KULMBACH
203,108370,LAUPHEIM
204,108731,ROSENHEIM
205,114870,KOCELOVICE
206,066390,NAPF
207,066210,GUETTINGEN
208,108691,LANDSHUT
209,066550,ENGLEBERG
210,066690,LAEGERN
211,108720,GOTTFRIEDING
212,141120,POSTOJNA
213,108380,Ulm - Giengen
214,160660,MILANO MALPENSA
215,106750,BAMBERG
216,067950,PIZ MARTEGNAS
217,107801,OBERVIECHTACH
218,109800,WENDELSTEIN
219,107912,METTEN
220,067280,GRACHEN
221,067980,SCUOL
222,108630,WEIHENSTEPHAN-DURNAS
223,107820,WALDMUNCHEN
224,108051,RHEINAU-MEMPRECHTSHO
225,107361,PFORZHEIM-EUTINGEN
226,107631,GOSSWEINSTEIN
227,067830,S. BERNARDINO
228,107910,GROSSER ARBER
229,160080,S. VALENTINO ALLA MU
230,161000,Venezia-Cavanis
231,107960,ZWIESEL
232,140150,LJUBLJANA/BEZIGRAD
233,066480,EGOLZWIL
234,113141,SCHWANGAU-HORN
235,111570,AIGEN IM ENNSTAL
236,113371,REIT IM WINKL
237,067400,TITLIS
238,115320,VRAZ
239,109821,TROSTBERG
240,066500,LUZERN
241,106880,WEIDEN
242,066700,ZURICH / KLOTEN
243,140141,KRVAVEC
244,066900,ALTENRHEIN
245,108031,VOGTSBURG-OBERROTWEI
246,067500,GUETSCH OB ANDERMATT
247,067340,INTERLAKEN
248,160800,MILANO/LINATE
249,067250,"BLATTEN, LOETSCHENTA"
250,067960,"STA. MARIA, VAL MUES"
251,109082,WUTOSCHINGEN-OFTERIN
252,110530,Ried
253,107650,ROTH
254,108360,STOETTEN
255,111550,Feuerkogel
256,108180,KLIPPENECK
257,111440,Zell am See
258,160990,TREVISO/S.ANGELO
259,107711,AMBERG-UNTERAMMERSRI
260,108652,ATTENKAM
261,108700,MUENCHEN-FLUGHAFEN_A
262,066820,ELM
263,067300,JUNGFRAUJOCH
264,161330,Ferrara
265,114062,TIRSCHENREUTH-LODERM
266,108500,HARBURG
267,106754,SCHLUSSELFELD (KLARA
268,066790,AADORF / TAENIKON
269,067850,AROSA
270,109120,DONAUESCHINGEN
271,107713,SCHWANDORF
