,stationcode_list_excluded,stationname_list_excluded
0,115460,CESKE BUDEJOVICE
1,067530,PIOTTA
2,108501,REIMLINGEN
3,108030,Freiburg/Breisgau
4,107630,NUERNBERG_AIRPORT
5,112410,Schockl
6,160400,TARVISIO------------
7,141060,BILJE
8,106482,KR. NECKAR-ODENWALD
9,160360,AVIANO--------------
10,066020,DELEMONT
11,072990,BALE-MULHOUSE
12,108651,ALTOMUNSTER-MAISBRUN
13,066800,SAENTIS
14,107432,ROTHENBURG OB DER TA
15,161101,GODNJE
16,115490,VYSSI BROD
17,109480,OBERSTDORF
18,140070,RATECE
19,107610,WEIßENBURG
20,111260,Patscherkofel
21,111470,Radstadt
22,069900,VADUZ
23,066810,ST. GALLEN (ANETZ-ST
24,108560,LECHFELD
25,066590,PILATUS
26,114470,STRIBRO
27,067860,CHUR
28,108721,MALLERSDORF/NIEDERBA
29,108950,FUERSTENZELL
30,108570,LANDSBERG (FLUGPLATZ
31,107710,KUMMERSBRUCK
32,066340,WYNAU
33,109710,BAD TOLZ
34,067510,ROBIEI
35,110531,ERING
36,067440,GRIMSEL HOSPIZ
37,107880,STRAUBING
38,107712,PARSBERG/OBERPFALZ-E
39,108050,LAHR
40,066460,BEZNAU
41,109290,KONSTANZ
42,067970,PASSO DEL BERNINA
43,107420,OEHRINGEN
44,113120,Galtur
45,114570,CHURANOV
46,107381,MUNSINGEN-APFELSTETT
47,160707,RIVA
48,111501,BAD REICHENHALL
49,111120,LANDECK
50,067450,ULRICHEN
51,067390,EGGISHORN
52,066750,EINSIEDELN
53,066570,GISWIL
54,160842,SAN LAZZARO ALBERONI
55,140090,VOJSKO
56,066860,BAD RAGAZ
57,067270,VISP
58,114280,DOMAZLICE
59,999049,OBIR
60,160210,Passo Rolle
61,140120,TOPOL PRI MEDVODAH
62,110150,FREISTADT
63,107611,WEISSENBURG
64,110170,Freistadt
65,106753,EBRACH
66,106861,FICHTELBERG/OBERFRAN
67,108930,PASSAU-OBERHAUS
68,066720,ALTDORF
69,109460,KEMPTEN
70,066510,SCHUEPFHEIM
71,111300,Kufstein
72,140060,VOGEL
73,067710,STABIO
74,067590,CIMETTA
75,107560,FEUCHTWANGEN-HEILBRO
76,067990,NALUNS / SCHLIVERA
77,107632,NUERNBERG-BUCHENBUEH
78,108150,FREUDENSTADT
79,108502,DILLINGEN/DONAU
80,109540,ALTENSTADT
81,111460,Sonnblick
82,108400,ULM
83,111660,Seckau
84,067770,MONTE GENEROSO
85,110070,Kollerschlag
86,107770,GELBELSEE
87,108681,HOLZKIRCHEN
88,109451,KR. RAVENSBURG WEING
89,114230,PRIMDA
90,114180,MARIANSKE LAZNE
91,109080,FELDBERG/SCHWARZWALD
92,066330,BUCHS / AARAU
93,108182,VILLINGEN-SCHWENNING
94,067290,SAMEDAN
95,109450,LEUTKIRCH-HERLAZHOFE
96,108271,HECHINGEN
97,067800,WEISSFLUHJOCH
98,161300,Parma
99,068080,MAGADINO / CADENAZZO
100,066730,WAEDENSWIL
101,067840,DAVOS
102,112150,Millstatt
103,106551,WUERZBURG_(PHYSIKALI
104,142192,NOVA VAS NA BLOKAH
105,112400,Graz-Flughafen
106,106550,WUERZBURG
107,112991,Seckau
108,109820,CHIEMING
109,111290,BRENNER
110,067780,BUFFALORA
111,108321,MERKLINGEN
112,112110,Radenthein
113,112610,Flattach-Kleindorf
114,140080,KREDARICA
115,066370,MEIRINGEN
116,109610,Zugspitze
117,111197,WILTEN
118,108750,MUHLDORF
