,stationcode_list_excluded,stationname_list_excluded
0,720046,GROTON
1,756374,MOHONK LAKE
2,725060,NANTUCKET
3,756211,GREAT BARRINGTON 5 S
4,756380,SARATOGA SPRINGS 4 S
5,720534,CORNWALL
6,720349,HANOVER
7,725020,NEWARK/INT'L-ARPT---
8,720536,SAINT JOHNSBURY
9,720384,PORT JERVIS
10,725091,PROVINCETOWN
11,753011,KINGSTON
12,756368,GLENHAM
13,756379,POUGHKEEPSIE
14,720219,BEDFORD
15,725092,BOSTON_CITY_WSO
16,720222,LAWRENCE
17,725080,HARTFORD/BRADLEY INT
18,720373,GLOVERSVILLE
19,756053,STAMFORD 5 N
20,756562,SOUTH LINCOLN
21,725040,BRIDGEPORT/SIKORSKY
22,744900,WALPOLE 2
23,720048,STORRS
24,720352,BOONTON 1 SE
25,756361,BRIDGEHAMPTON
26,720205,FARMINGTON
27,726130,MOUNT WASHINGTON
28,752044,KEENE
29,756213,PLYMOUTH-KINGSTON
30,725050,BLOCK ISLAND STATE A
31,726050,CONCORD
32,756051,FALLS VILLAGE
33,720353,CHARLOTTEBURG RSVR
34,720206,LEWISTON
35,726170,BURLINGTON WSO AP
36,720385,SETAUKET STRONG
37,725090,READING
38,756381,DOBBS FERRY ARDSLEY
39,720533,CHELSEA
40,756387,WALDEN 1 ESE
41,756559,CAVENDISH
42,744902,WEST MEDWAY
43,756390,YORKTOWN HEIGHTS 1 W
44,720347,BETHLEHEM 2
45,720225,TAUNTON
46,756384,TROY L&D
47,720348,DURHAM
