,stationcode_list_excluded,stationname_list_excluded
0,037400,LYNEHAM
1,037430,LARKHILL
2,035342,WELLESBOURNE
3,038992,SCARBOROUGH
4,034971,LOWESTOFT
5,033431,BRADFORD
6,039008,HAMPSTEAD
7,039570,ROSSLARE
8,037762,HASTINGS
9,070020,BOULOGNE
10,039000,PRESTON: MOOR PARK
11,039006,WRITTLE
12,035020,ABERPORTH
13,033450,EMLEY_MOOR
14,038994,DURHAM
15,033342,KEELE
16,038530,YEOVILTON
17,070210,CHERBOURG
18,038995,COCKLE PARK
19,032570,LEEMING
20,033540,NOTTINGHAM: WATNALL
21,038637,OSBORNE
22,038993,EDGBASTON
23,038272,BUDE
24,991260,GOUDHURST
25,039007,MALHAM TARN
26,036800,ROTHAMSTEAD
27,035250,MALVERN
28,035340,BIRMINGHAM/ELMDON
29,070200,PTE DE LA HAGUE
30,038620,BOURNEMOUTH/HURN
31,038991,STONYHURST
32,033210,HAWARDEN
33,033400,SHEFFIELD
34,038988,YORK
35,031622,KIELDER CASTLE
36,038996,CAMBRIDGE
37,031621,NEWTON RIGG
38,034970,GORLESTON
39,033861,SKEGNESS
40,037150,CARDIFF/RHOOSE
41,038271,SLAPTON
42,033020,VALLEY
43,035031,GOGERDDAN
44,033771,TERRINGTON ST CLEMEN
45,038270,PLYMOUTH/MOUNT BATTE
46,038999,GRIZEDALE
47,036071,CWMYSTWYTH
48,038638,BOGNOR REGIS
49,037641,READING UNIVERSITY
50,039004,HIGH MOWTHORPE
51,033211,ALWEN
52,033340,MANCHESTER/RINGWAY
53,038639,LECKFORD
54,032810,FYLINGDALES
55,037760,LONDON/GATWICK
56,037761,GREENWICH_MARITIME_M
57,032040,RONALDSWAY
58,033230,BIDSTON
59,033341,BUXTON
60,037900,LYONSHALL
61,034140,SHAWBURY
62,033770,WADDINGTON
63,036031,DALE_FORT
64,036140,CILFYNYDD
65,031542,THREAVE
66,037971,EAST BERGHOLT
67,037720,HEATHROW
68,038800,NEWHAVEN_LGT_H
69,035900,WATTISHAM
70,037898,ROSS-ON-WYE
71,038881,WYE
72,037970,MANSTON
