,stationcode_list_excluded,stationname_list_excluded
0,756374,MOHONK LAKE
1,725060,NANTUCKET
2,756380,SARATOGA SPRINGS 4 S
3,756211,GREAT BARRINGTON 5 S
4,720534,CORNWALL
5,725020,NEWARK/INT'L-ARPT---
6,720384,PORT JERVIS
7,756368,GLENHAM
8,756379,POUGHKEEPSIE
9,720219,BEDFORD
10,725080,HARTFORD/BRADLEY INT
11,720373,GLOVERSVILLE
12,756562,SOUTH LINCOLN
13,725040,BRIDGEPORT/SIKORSKY
14,720048,STORRS
15,756361,BRIDGEHAMPTON
16,720205,FARMINGTON
17,726130,MOUNT WASHINGTON
18,756213,PLYMOUTH-KINGSTON
19,756051,FALLS VILLAGE
20,720353,CHARLOTTEBURG RSVR
21,720206,LEWISTON
22,756381,DOBBS FERRY ARDSLEY
23,720533,CHELSEA
24,756387,WALDEN 1 ESE
25,756559,CAVENDISH
26,744902,WEST MEDWAY
27,756390,YORKTOWN HEIGHTS 1 W
28,720347,BETHLEHEM 2
29,756384,TROY L&D
