,stationcode_list_excluded,stationname_list_excluded
0,756211,GREAT BARRINGTON 5 S
1,756387,WALDEN 1 ESE
2,756390,YORKTOWN HEIGHTS 1 W
3,720048,STORRS
4,725020,NEWARK/INT'L-ARPT---
5,720206,LEWISTON
6,720219,BEDFORD
7,720373,GLOVERSVILLE
8,725060,NANTUCKET
9,744902,WEST MEDWAY
10,720205,FARMINGTON
11,720384,PORT JERVIS
12,756368,GLENHAM
13,720347,BETHLEHEM 2
14,756051,FALLS VILLAGE
15,756381,DOBBS FERRY ARDSLEY
16,756379,POUGHKEEPSIE
17,725040,BRIDGEPORT/SIKORSKY
18,720353,CHARLOTTEBURG RSVR
19,726130,MOUNT WASHINGTON
20,756361,BRIDGEHAMPTON
21,756384,TROY L&D
22,720534,CORNWALL
23,725080,HARTFORD/BRADLEY INT
24,756213,PLYMOUTH-KINGSTON
25,756559,CAVENDISH
26,756380,SARATOGA SPRINGS 4 S
27,756374,MOHONK LAKE
28,756562,SOUTH LINCOLN
29,720533,CHELSEA
