,stationcode_list_excluded,stationname_list_excluded
0,725180,ALBANY INTL AP
1,720046,GROTON
2,756374,MOHONK LAKE
3,725060,NANTUCKET
4,756211,GREAT BARRINGTON 5 S
5,756380,SARATOGA SPRINGS 4 S
6,720534,CORNWALL
7,720349,HANOVER
8,725020,NEWARK/INT'L-ARPT---
9,720536,SAINT JOHNSBURY
10,720384,PORT JERVIS
11,725091,PROVINCETOWN
12,726060,PORTLAND JETPORT
13,753011,KINGSTON
14,756368,GLENHAM
15,756379,POUGHKEEPSIE
16,720219,BEDFORD
17,725092,BOSTON_CITY_WSO
18,720222,LAWRENCE
19,725080,HARTFORD/BRADLEY INT
20,720373,GLOVERSVILLE
21,756053,STAMFORD 5 N
22,756562,SOUTH LINCOLN
23,725040,BRIDGEPORT/SIKORSKY
24,744900,WALPOLE 2
25,720048,STORRS
26,720352,BOONTON 1 SE
27,756361,BRIDGEHAMPTON
28,720205,FARMINGTON
29,726130,MOUNT WASHINGTON
30,752044,KEENE
31,756213,PLYMOUTH-KINGSTON
32,725050,BLOCK ISLAND STATE A
33,756382,STILLWATER RSVR
34,726050,CONCORD
35,756051,FALLS VILLAGE
36,720353,CHARLOTTEBURG RSVR
37,720206,LEWISTON
38,726170,BURLINGTON WSO AP
39,720385,SETAUKET STRONG
40,725090,READING
41,756381,DOBBS FERRY ARDSLEY
42,720533,CHELSEA
43,756387,WALDEN 1 ESE
44,720387,WEST POINT
45,756559,CAVENDISH
46,744902,WEST MEDWAY
47,756390,YORKTOWN HEIGHTS 1 W
48,720347,BETHLEHEM 2
49,720225,TAUNTON
50,756384,TROY L&D
51,720348,DURHAM
