,stationcode_list_excluded,stationname_list_excluded
0,101420,ITZEHOE
1,125000,JELENIA GORA
2,101561,LUEBECK-WERFT
3,116030,LIBEREC; AIRPORT
4,101308,EUTIN
5,103880,BERLIN-BUCH
6,103850,BERLIN-SCHONEFELD
7,101720,LAAGE (FLUGPLATZ)
8,102810,TROLLENHAGEN
9,102890,GRUNOW
10,104381,KASSEL
11,116710,BROUMOV
12,105640,SCHLEIZ
13,125001,SKLARSKA_POREBA
14,100450,KIEL
15,116170,PODEBRADY
16,104330,LUGDE-PAENBRUCH
17,102670,KYRITZ
18,104690,LEIPZIG/HALLE
19,102700,NEURUPPIN
20,102910,ANGERMUENDE
21,124150,LEGNICA-BARTO-------
22,105480,MEININGEN
23,100970,GREIFSWALDER OIE
24,115090,DOKSANY
25,105670,GERA-LEUMNITZ
26,115020,USTI NAD LABEM
27,102460,FASSBERG
28,105400,EISENACH
29,102830,ZEHDENICK
30,104600,ARTERN
31,122150,SZCZECINEK----------
32,103930,LINDENBERG
33,114460,PLZEN
34,101471,HAMBURG-NEUWIEDENTHA
35,095460,KALTENNORDHEIM
36,116050,DESNA
37,123300,POZNAN/LAWICA
38,104900,DOBERLUG-KIRCHHAIN
39,105690,PLAUEN
40,103480,BRAUNSCHWEIG
41,103921,MUNCHEBERG
42,104411,WAHLSBURG-LIPPOLDSBE
43,116120,HOLOVOUSY
44,114470,STRIBRO
45,101301,FREIBURG/ELBE
46,122300,PILA
47,101680,GOLDBERG
48,116430,PEC POD SNEZKOU
49,106879,HEINERSREUTH-VOLLHOF
50,103680,WIESENBURG
51,105570,NEUHAUS A.R.
52,101470,HAMBURG-FUHLSBUETTEL
53,104490,LEINEFELDE
54,101521,HOHWACHT
55,114060,CHEB
56,103760,BARUTH
57,095599,STRALSUND
58,090916,PUTBUS
59,101800,BARTH
60,101560,LUBECK-BLANKENSEE
61,104950,HOYERSWERDA
62,106850,HOF
63,103960,MANSCHNOW
64,106860,WUNSIEDEL-SCHONBRUNN
65,116480,HRADEC_KRALOVE
66,105740,CARLSFELD
67,106710,LAUTERTAL-OBERLAUTER
68,115221,SMETSCHNA
69,102490,BOIZENBURG
70,093980,FRANKFURT AMODER
71,103341,NIENBURG
72,121000,KOLOBRZEG-----------
73,103611,BERNBURG/SAALE (NORD
74,101840,GRIEFSWALD/WIECK
75,105420,BAD HERSFELD
76,104392,MELSUNGEN-BURSTOSS
77,105572,TEUSCHNITZ
78,114680,ZATEC
79,101700,WARNEMUNDE
80,114058,TETSCHEN
81,104420,ALFELD
82,124180,LESZNO
83,100440,LEUCHTTURM KIEL
84,102241,ROTENBURG (WUMME)
85,103481,HANKENSBUTTEL
86,103561,HELMSTEDT
87,102701,MENZ
88,104440,GOTTINGEN
89,106861,FICHTELBERG/OBERFRAN
90,090927,SYLT
91,102350,SOLTAU
92,116490,HRADEC KRALOVE; NOVY
93,061990,DUEODDE
94,103790,POTSDAM
95,114640,MILESOVKA
96,105770,CHEMNITZ
97,094557,KOTHEN
98,104527,KLAUSTHAL
99,104331,KR. HOLZMINDEN BEVER
100,106878,KULMBACH
101,121050,KOSZALIN
102,101460,QUICKBORN
103,102462,UNTERLUSS
104,114610,TEPLICE
105,103590,GARDELEGEN
106,101610,BOLTENHAGEN
107,104880,DRESDEN-KLOTZ-------
108,105790,MARIENBERG
109,125100,SNIEZKA
110,103482,WOLFSBURG
111,122100,RESKO---------------
112,105580,SONNEBERG-NEUFANG
113,114420,KRALOVICE
114,061607,BOGO
115,094700,LEIPZIG
116,094860,WAHNSDORF
117,104351,BORGENTREICH-BUHNE
118,104760,HOLZDORF (FLUGPLATZ)
119,114010,AS
120,103560,UMMENDORF
121,104580,HARZGERODE
122,100550,FEHMARN_(WESTERMARKE
123,101307,LUNEBERG
124,102380,BERGEN
125,026380,SMYGEHUK
