,stationcode_list_excluded,stationname_list_excluded
126,123100,SLUBICE
127,114380,TUSIMICE
128,105520,SCHMUCKE
129,114180,MARIANSKE LAZNE
130,105780,FICHTELBERG
131,115580,DOKSY
132,114330,KOPISTY
133,116431,HOHENELB
134,101770,TETEROW
135,104380,KASSEL
136,104740,WITTENBERG
137,103650,GENTHIN
138,094797,TORGAU
139,104532,CLAUSTHAL-ZELLERFELD
140,114320,NOVA VES V HORACH
141,101721,GROSS LUSEWITZ
142,104350,WARBURG
143,102530,LUCHOW
144,104800,OSCHATZ
145,105460,KALTENNORDHEIM
146,105421,SONTRA
147,105910,LICHTENHAIN-MITTELND
148,122000,SWINOUJSCIE
149,105550,WEIMAR
150,104540,WERNIGERODE
151,100910,ARKONA
152,124250,WROCLAW
153,102461,UELZEN
154,104951,KR. BAUTZEN KUBSCHUT
155,115220,NEUMETELY
156,104801,NOSSEN
157,115510,VARNSDORF
158,101421,GLUCKSTADT
159,115720,ONDREJOV
160,116587,SCHOSSL
161,101522,TRAVEMUNDE
162,104520,BRAUNLAGE
163,124000,ZIELONA GORA
164,102680,WAREN
165,103250,BAD SALZUFLEN
166,105571,KRONACH
167,101391,WORPSWEDE-HUTTENBUSC
168,114140,KARLOVY VARY
169,115630,BRANDYS NAD LABEM-ST
170,094998,ARNSTADT
171,105820,ZINNWALD-GEORGENFELD
172,101321,NEUMUNSTER
173,102610,SEEHAUSEN
174,103340,WUNSTORF
175,123000,GORZOW_WLKP
176,090917,ROSTOCK
177,102640,MARNITZ
178,103430,CELLE
179,124050,ZGORZELEC
180,103700,BRANDENBURG-GORDEN
181,103370,HILDESHEIM
182,104530,BROCKEN-------------
183,114190,KONSTANTINOVY LAZNE
184,101520,PELZERHAKEN
185,115610,SEMCICE
186,061900,BORNHOLMS LUFTHAVN
187,104531,BAD HARZBURG
188,104960,COTTBUS
189,114062,TIRSCHENREUTH-LODERM
190,114061,SELB/OBERFRANKEN-WIL
191,105650,OSTERFELD
192,101930,UECKERMUNDE
193,104491,ESCHWEGE
194,115200,LIBUS
195,116750,UPICE
196,092790,NEUSTRELITZ
